,years,technology,scenario,capacity,generation,retirement,cap.change,investment,annual.capex,annual.FOM,annual.VOM,annual.Fuel,annual.opex
135,2021,Gas,Reference,498697.35,1406731.826114,3549.45,6282.75,9832.2,9733118.08330028,12213800.535,2886205.84935516,26095190.7220486,41195197.1064038
136,2022,Gas,Reference,504980.1,1202859.598,3549.45,6282.74999999997,9832.19999999997,9702258.22944628,12380613.37,2198865.29412,21545532.2577769,36125010.9218969
137,2023,Gas,Reference,497604.85,1353467.619,12512.5805793787,-7375.24999999997,5730.55000000004,5900033.94696803,12257444.085,2491170.19786,24894561.3579266,39643175.6407866
138,2024,Gas,Reference,490229.6,1504075.64,12512.5805793787,-7375.25,5730.54999999998,5874900.68201812,12134274.8,2783475.1016,29139235.3365592,44056985.2381592
139,2025,Gas,Reference,488998.8,1484024.734,4552.3719025319,-1230.80000000002,3321.57190253188,3389651.37079581,12127685.8,2739438.02596,31352050.9680167,46219174.7939767
140,2026,Gas,Reference,487768.0,1463973.828,4552.3719025319,-1230.80000000002,3321.57190253188,3374843.65021431,12121096.8,2695400.95032,32858498.78591,47674996.53623
141,2027,Gas,Reference,487133.7,1412468.2675,1908.02272831828,-634.300000000017,1422.94999999998,1440071.16025453,12114483.77,2591379.96145,32855546.97957,47561410.71102
142,2028,Gas,Reference,486499.4,1360962.707,1908.02272831828,-634.299999999959,1422.95000000003,1433830.33182445,12107870.74,2487358.97258,32187546.2941536,46782776.0067336
143,2029,Gas,Reference,480024.6,1309009.8595,7741.76310566213,-6474.80000000005,1266.96310566208,1253504.15017592,11970629.98,2378417.34593,30819536.9239394,45168584.2498694
144,2030,Gas,Reference,473549.8,1257057.012,7741.76310566213,-6474.79999999999,1266.96310566214,1247947.45502172,11833389.22,2269475.71928,28981301.7376728,43084166.6769528
145,2031,Gas,Reference,477654.75,1276858.5335,1316.45,4104.95000000001,5421.40000000001,5348177.25147761,11950677.075,2293224.83549,29127917.2025769,43371819.1130669
146,2032,Gas,Reference,481759.7,1296660.055,1316.45,4104.95000000001,5421.40000000001,5324045.27338299,12067964.93,2316973.9517,29745974.5837032,44130913.4654032
147,2033,Gas,Reference,482481.15,1289098.99575,2768.6,721.450000000012,3490.05000000001,3376463.83352405,12097362.915,2300854.959005,30108728.1192036,44506945.9932086
148,2034,Gas,Reference,483202.6,1281537.9365,2768.6,721.450000000012,3490.05000000001,3364552.71938727,12126760.9,2284735.96631,30358520.5094885,44770017.3757985
149,2035,Gas,Reference,485686.85,1283533.02165,2111.00446986929,2484.25,4595.25446986929,4483555.86247705,12205110.845,2285176.166951,30351808.1277743,44842095.1397253
150,2036,Gas,Reference,488171.1,1285528.1068,2111.00446986929,2484.24999999997,4595.25446986926,4458363.30938373,12283460.79,2285616.367592,30363819.518777,44932896.676369
151,2037,Gas,Reference,491732.5,1320331.17415,2318.60307448339,3561.39999999999,5880.00307448339,5647043.26563071,12390994.53,2345502.080301,31500757.3846958,46237253.9949968
152,2038,Gas,Reference,495293.9,1355134.2415,2318.60307448339,3561.40000000002,5880.00307448341,5627420.4639249,12498528.27,2405387.79301,32504900.7738769,47408816.8368869
153,2039,Gas,Reference,497920.4,1380160.93375,3369.15690691134,2626.49999999997,5995.65690691131,5642366.3671316,12584777.96,2446789.892725,33145105.209721,48176673.062446
154,2040,Gas,Reference,500546.9,1405187.626,3369.15690691134,2626.49999999997,5995.65690691131,5615285.53287474,12671027.65,2488191.99244,33789792.1495423,48949011.7919823
155,2041,Gas,Reference,502818.0,1421356.45925,2904.7,2271.10000000003,5175.80000000004,4762881.60999484,12742257.8,2511820.108695,34125168.7967761,49379246.7054711
156,2042,Gas,Reference,505089.1,1437525.2925,2904.7,2271.10000000003,5175.80000000004,4740181.38877223,12813487.95,2535448.22495,34579823.3594091,49928759.5343591
157,2043,Gas,Reference,512237.65,1453830.588,2546.9,7148.54999999999,9695.44999999999,8830567.95823359,13012126.565,2561805.50472,35052759.4915369,50626691.5612569
158,2044,Gas,Reference,519386.2,1470135.8835,2546.9,7148.54999999999,9695.44999999999,8788045.28350644,13210765.18,2588162.78449,35591926.2716241,51390854.2361141
159,2045,Gas,Reference,529596.2,1486605.1737,11111.9,10210.0,21321.9,18079301.2449861,13450426.5,2618817.718078,36118518.9583074,52187763.1763854
160,2046,Gas,Reference,539806.2,1503074.4639,11111.9,10210.0,21321.9,17996048.2231247,13690087.82,2649472.651666,36931670.7952916,53271231.2669576
161,2047,Gas,Reference,552463.95,1531175.54055,4005.05,12657.75,16662.8,13557328.9563073,13978810.155,2704113.410317,38168883.3648374,54851806.9301544
162,2048,Gas,Reference,565121.7,1559276.6172,4005.05,12657.75,16662.8,13479259.3921152,14267532.49,2758754.168968,39244421.3581069,56270708.017075
163,2049,Gas,Reference,571050.9,1569139.8061,14986.75,5929.19999999995,20915.95,16740900.5020153,14412575.65,2777642.482134,39725649.1582225,56915867.2903565
164,2050,Gas,Reference,576980.1,1579002.995,14986.75,5929.20000000001,20915.95,16545893.3082087,14557618.81,2796530.7953,40545965.9528373,57900115.5581373
165,2010,Geo,Reference,2392.1,15003.633936,0.0,,,,,,,
166,2011,Geo,Reference,2407.9,15081.64086,0.0,15.8000000000002,15.8000000000002,,,,,
167,2012,Geo,Reference,2531.8,15147.961944,0.0,123.9,123.9,,,,,
168,2013,Geo,Reference,2509.5,15783.95196,0.0,-22.3000000000002,0.0,,,,,
169,2014,Geo,Reference,2513.3,15851.88576,0.0,3.80000000000018,3.80000000000018,,,,,
170,2015,Geo,Reference,2523.0,15890.96412,0.0,9.69999999999982,9.69999999999982,,,,,
171,2016,Geo,Reference,2516.6,15784.517856,0.0,-6.40000000000009,0.0,,,,,
172,2017,Geo,Reference,2460.4,15776.872128,0.0,-56.1999999999998,0.0,,,,,
173,2018,Geo,Reference,2391.5,15921.6504,0.0,-68.9000000000001,0.0,,,,,
174,2019,Geo,Reference,2535.2,15457.012992,0.0,143.7,143.7,957389.297274165,349874.464233131,0.0,0.0,349874.464233131
175,2020,Geo,Reference,2561.5,15505.16934,0.0,26.3000000000002,26.3000000000002,169247.48131877,350829.215619626,0.0,0.0,350829.215619626
176,2021,Geo,Reference,2727.4,18525.53767,0.0,165.9,165.9,1038128.05416782,370703.216434928,0.0,0.0,370703.216434928
177,2022,Geo,Reference,2893.3,21545.906,0.0,165.9,165.9,1008962.76072974,390230.738055283,0.0,0.0,390230.738055283
178,2023,Geo,Reference,2893.3,21545.911,0.0,0.0,0.0,0.0,387209.435298374,0.0,0.0,387209.435298374
179,2024,Geo,Reference,2893.3,21545.916,0.0,0.0,0.0,0.0,384188.132541463,0.0,0.0,384188.132541463
180,2025,Geo,Reference,3269.85,24350.196,0.0,376.55,376.55,2095810.62204156,430773.980704046,0.0,0.0,430773.980704046
181,2026,Geo,Reference,3646.4,27154.476,0.0,376.55,376.55,2032492.72575897,476573.410898834,0.0,0.0,476573.410898834
