"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","FOM","VOM","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"163",2013,"Nuclear","Reference",99006.8,787508.007744,2090.15,-2159.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2013,"Nuclear","95% by 2050",99006.8,787508.007744,2090.15,-2159.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2013,"Nuclear","95% by 2035",99006.8,787508.007744,2090.15,-2159.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2013,"PHS","Reference",22389.3,19220.766264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2013,"PHS","95% by 2050",22389.3,19220.766264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2013,"PHS","95% by 2035",22389.3,19220.766264,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2013,"PV dist","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2013,"PV dist","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2013,"PV dist","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2013,"PV utility","Reference",3525.2,7565.78424,0,1998.1,1998.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2013,"PV utility","95% by 2050",3525.2,7565.78424,0,1998.1,1998.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2013,"PV utility","95% by 2035",3525.2,7565.78424,0,1998.1,1998.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2013,"Wind off","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2013,"Wind off","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2013,"Wind off","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2013,"Wind on","95% by 2035",59175.6,167954.554944,8.69999999999999,9717.6,9726.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2013,"Wind on","95% by 2050",59175.6,167954.554944,8.69999999999999,9717.6,9726.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2013,"Wind on","Reference",59175.6,167954.554944,8.69999999999999,9717.6,9726.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2014,"Batteries","Reference",155.1,23.097492,0,28.4,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2014,"Batteries","95% by 2050",155.1,23.097492,0,28.4,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2014,"Batteries","95% by 2035",155.1,23.097492,0,28.4,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2014,"Biomass","Reference",7108.6,39044.127672,62.55,-12.6999999999998,49.8500000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",2014,"Biomass","95% by 2050",7108.6,39044.127672,62.55,-12.6999999999998,49.8500000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",2014,"Biomass","95% by 2035",7108.6,39044.127672,62.55,-12.6999999999998,49.8500000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",2014,"Coal","Reference",299064.7,1584983.09706,5734.8,-3539.70000000001,2195.09999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",2014,"Coal","95% by 2050",299064.7,1584983.09706,5734.8,-3539.70000000001,2195.09999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",2014,"Coal","95% by 2035",299064.7,1584983.09706,5734.8,-3539.70000000001,2195.09999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",2014,"CSP","Reference",1005,2068.1884,0,452.9,452.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2014,"CSP","95% by 2050",1005,2068.1884,0,452.9,452.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",2014,"CSP","95% by 2035",1005,2068.1884,0,452.9,452.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",2014,"Gas CC","Reference",224183.2,954428.588352,803.899999999999,4280.30000000002,5084.20000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2014,"Gas CC","95% by 2050",224183.2,954428.588352,803.899999999999,4280.30000000002,5084.20000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",2014,"Gas CC","95% by 2035",224183.2,954428.588352,803.899999999999,4280.30000000002,5084.20000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",2014,"Gas CC CCS","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",2014,"Gas CC CCS","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2014,"Gas CC CCS","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2014,"Gas CT","Reference",220869.7,181835.819136,5188.3,-985.5,4202.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2014,"Gas CT","95% by 2050",220869.7,181835.819136,5188.3,-985.5,4202.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2014,"Gas CT","95% by 2035",220869.7,181835.819136,5188.3,-985.5,4202.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",2014,"Geothermal","Reference",2513.3,15851.88576,0,3.80000000000018,3.80000000000018,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",2014,"Geothermal","95% by 2050",2513.3,15851.88576,0,3.80000000000018,3.80000000000018,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",2014,"Geothermal","95% by 2035",2513.3,15851.88576,0,3.80000000000018,3.80000000000018,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",2014,"Hydro","Reference",79582.8,259338.062016,0,709.300000000003,709.300000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",2014,"Hydro","95% by 2050",79582.8,259338.062016,0,709.300000000003,709.300000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
