"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","Fixed.O.M","Variable.O.M","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"1526",2043,"Wind off","95% by 2050",31331,115464.315,0,0,0,1677.83474270094,64.6480683145854,0,0,0,2025488.62836428,0,0,2025488.62836428
"1527",2043,"Wind off","Reference",31331,116298.385,0,0,0,1677.83474270094,64.6480683145854,0,0,0,2025488.62836428,0,0,2025488.62836428
"1528",2043,"Wind on","95% by 2035",548988.05,1927155.2,2880.6,14019.65,16900.25,586.25,27.6759,0,0,9907771.56250001,15193738.372995,0,0,15193738.372995
"1529",2043,"Wind on","95% by 2050",357497.4,1317109.85,2880.6,25268,28148.6,586.25,27.6759,0,0,16502116.75,9894062.29266,0,0,9894062.29266
"1530",2043,"Wind on","Reference",232094.9,886079.75,2880.6,7838.80000000002,10719.4,586.25,27.6759,0,0,6284248.25000001,6423435.24291,0,0,6423435.24291
"1531",2044,"Batteries","95% by 2050",131553.5,214287.31,1405.68997775959,16366.85,17772.5399777596,409.937,10.248425,0,0,7285621.72086284,1348216.1782375,0,0,1348216.1782375
"1532",2044,"Batteries","Reference",98988.7,134817.84,1545.43942845081,5373.45,6918.88942845081,409.937,10.248425,0,0,2836308.77563084,1014478.2677975,0,0,1014478.2677975
"1533",2044,"Batteries","95% by 2035",228337.9,330968.06,1075.20207339925,7536.94999999998,8612.15207339923,409.937,10.248425,0,0,3530439.78451306,2340103.8428075,0,0,2340103.8428075
"1534",2044,"Biomass","95% by 2035",5503.2,33477.6,106.3,-117.5,0,3761.18219995729,149.833992094862,4.79249011857707,3.19246619489232,0,824566.425296445,160441.067193676,106876.106286127,1091883.59877625
"1535",2044,"Biomass","95% by 2050",2891.5,15251.629,106.3,-117.5,0,3761.18219995729,149.833992094862,4.79249011857707,3.19246619489232,0,433244.988142293,73093.2812747035,48690.3099995394,555028.579416536
"1536",2044,"Biomass","Reference",2891.5,16336.675,106.3,-117.5,0,3761.18219995729,149.833992094862,4.79249011857707,3.19246619489232,0,433244.988142293,78293.353507905,52154.2826744425,563692.624324641
"1537",2044,"Coal","95% by 2035",27954.3,0,481.85,-508.850000000002,0,2430.73641640293,64.5,6.84,4.85819301893983,0,1803052.35,0,0,1803052.35
"1538",2044,"Coal","Reference",132088.1,470169.92,3400,-3476.89999999999,0,2430.73641640293,64.5,6.84,4.85819301893983,0,8519682.45,3215962.2528,2284176.2230595,14019820.9258595
"1539",2044,"Coal","95% by 2050",130127.1,11950.44,4543.84831343183,-4308.10000000001,235.748313431824,2430.73641640293,64.5,6.84,4.85819301893983,573042.010564308,8393197.95,81741.0096,58057.5441812593,8532996.50378126
"1540",2044,"CSP","95% by 2050",0,0,469.5,-469.5,0,2947.97994405532,38.977,2.8854875,0,0,0,0,0,0
"1541",2044,"CSP","Reference",0,0,469.5,-469.5,0,2947.97994405532,38.977,2.8854875,0,0,0,0,0,0
"1542",2044,"CSP","95% by 2035",0,0,469.5,-469.5,0,2947.97994405532,38.977,2.8854875,0,0,0,0,0,0
"1543",2044,"Gas CC","95% by 2050",328306.7,1141812.6,0,0,0,938.569369303017,27.3,1.74,1.10604456900785,0,8962772.91,1986753.924,1262895.62505473,12212422.4590547
"1544",2044,"Gas CC","95% by 2035",319632.2,473191.5,0,4948.85000000003,4948.85000000003,938.569369303017,27.3,1.74,1.10604456900785,4644839.02327527,8725959.06,823353.21,523370.888675678,10072683.1586757
"1545",2044,"Gas CC","Reference",368061.5,1460721.4,0,7692.79999999999,7692.79999999999,938.569369303017,27.3,1.74,1.10604456900785,7220226.44417424,10048078.95,2541655.236,1615622.97130354,14205357.1573035
"1546",2044,"Gas CC CCS","95% by 2050",0,0,0,0,0,1444.03721889261,55.8,4.91,1.10604456900785,0,0,0,0,0
"1547",2044,"Gas CC CCS","Reference",0,0,0,0,0,1444.03721889261,55.8,4.91,1.10604456900785,0,0,0,0,0
"1548",2044,"Gas CC CCS","95% by 2035",388.9,1922.9944,0,0,0,1444.03721889261,55.8,4.91,1.10604456900785,0,21700.62,9441.902504,2126.91751235251,33269.4400163525
"1549",2044,"Gas CT","95% by 2035",144676.4,849.2907,2300.55,-1443.89999999999,856.650000000006,782.8721141149,20.9,4.94,1.10604456900785,670647.396556534,3023736.76,4195.496058,939.353366243875,3028871.60942424
"1550",2044,"Gas CT","95% by 2050",142356.4,21291.3792,2473.55,-2738.05000000002,0,782.8721141149,20.9,4.94,1.10604456900785,0,2975248.76,105179.413248,23549.2143308467,3103977.38757885
"1551",2044,"Gas CT","Reference",151324.7,9414.4835,2546.9,-544.25,2002.65,782.8721141149,20.9,4.94,1.10604456900785,1567818.8393322,3162686.23,46507.54849,10412.838345189,3219606.61683519
"1552",2044,"Geothermal","95% by 2050",7523.8,55804.01,42.7,256.900000000001,299.600000000001,4457.16954481347,126.52,0,0,1335367.99562612,951911.176,0,0,951911.176
"1553",2044,"Geothermal","Reference",7095.7,52799.53,42.7,42.8499999999995,85.5499999999995,4457.16954481347,126.52,0,0,381310.85455879,897747.964,0,0,897747.964
"1554",2044,"Geothermal","95% by 2035",7523.8,55776.65,42.7,54.0500000000002,96.7500000000002,4457.16954481347,126.52,0,0,431231.153460704,951911.176,0,0,951911.176
"1555",2044,"Hydro","95% by 2050",79658.3,269274.8,0,14.5500000000029,14.5500000000029,2184.40712784887,54.65639,0,0,31783.1237102074,4353835.111537,0,0,4353835.111537
"1556",2044,"Hydro","95% by 2035",80008.3,235698.98,0,4.05000000000291,4.05000000000291,2184.40712784887,54.65639,0,0,8846.84886779428,4372964.848037,0,0,4372964.848037
"1557",2044,"Hydro","Reference",79541.2,282462.18,0,14.5500000000029,14.5500000000029,2184.40712784887,54.65639,0,0,31783.1237102074,4347434.848268,0,0,4347434.848268
"1558",2044,"Nuclear","Reference",92091.6,735301.1,0,0,0,6190.5607649054,144.97233201581,2.35177865612648,7.50408658102767,0,13350734.0110672,1729265.43280632,5517763.11752488,20597762.5613984
"1559",2044,"Nuclear","95% by 2050",92091.6,732620.1,0,0,0,6190.5607649054,144.97233201581,2.35177865612648,7.50408658102767,0,13350734.0110672,1722960.31422925,5497644.66140115,20571338.9866976
