"","technology","years","retirement","scenario"
"160","Gas CT",2014,5188.3,"95% by 2050"
"161","Nuclear",2014,2090.15,"95% by 2050"
"162","Wind on",2014,8.69999999999999,"95% by 2050"
"163","Biomass",2016,156.05,"95% by 2050"
"164","Coal",2016,12428.65,"95% by 2050"
"165","Gas CC",2016,391.15,"95% by 2050"
"166","Gas CT",2016,7889.4,"95% by 2050"
"167","Nuclear",2016,241.4,"95% by 2050"
"168","PHS",2016,1.5,"95% by 2050"
"169","Wind on",2016,58.1000000000001,"95% by 2050"
"170","Biomass",2018,132.8,"95% by 2050"
"171","Coal",2018,9514.2,"95% by 2050"
"172","Gas CC",2018,1377.2,"95% by 2050"
"173","Gas CT",2018,8017.75,"95% by 2050"
"174","Nuclear",2018,303.85,"95% by 2050"
"175","Wind on",2018,25.85,"95% by 2050"
"176","Biomass",2020,246.35,"95% by 2050"
"177","Coal",2020,10451.15,"95% by 2050"
"178","Gas CC",2020,406,"95% by 2050"
"179","Gas CT",2020,2882.55,"95% by 2050"
"180","Nuclear",2020,1546.95,"95% by 2050"
"181","Wind on",2020,61.2,"95% by 2050"
"182","Coal",2022,5826.15,"95% by 2050"
"183","Gas CC",2022,44.4999999999997,"95% by 2050"
"184","Gas CT",2022,3504.95,"95% by 2050"
"185","Nuclear",2022,2953.25,"95% by 2050"
"186","Wind on",2022,67.35,"95% by 2050"
"187","Batteries",2024,3,"95% by 2050"
"188","Biomass",2024,8,"95% by 2050"
"189","Coal",2024,14114.1423643484,"95% by 2050"
"190","Gas CC",2024,890.950000000001,"95% by 2050"
"191","Gas CT",2024,11621.6305793787,"95% by 2050"
"192","Nuclear",2024,561,"95% by 2050"
"193","PV utility",2024,0.818144632945469,"95% by 2050"
"194","Wind on",2024,5.34999999999999,"95% by 2050"
"195","Batteries",2026,16,"95% by 2050"
"196","Coal",2026,4289,"95% by 2050"
"197","Gas CC",2026,222.4,"95% by 2050"
"198","Gas CT",2026,4329.9719025319,"95% by 2050"
"199","Nuclear",2026,559,"95% by 2050"
"200","PV utility",2026,0.880357481999437,"95% by 2050"
"201","Wind on",2026,30,"95% by 2050"
"202","Batteries",2028,57.6,"95% by 2050"
"203","Biomass",2028,117.45,"95% by 2050"
"204","Coal",2028,2686.26263925922,"95% by 2050"
"205","Gas CC",2028,384.85,"95% by 2050"
"206","Gas CT",2028,1814.23365092077,"95% by 2050"
"207","PHS",2028,13.7,"95% by 2050"
"208","PV utility",2028,0.970688484201325,"95% by 2050"
"209","Wind on",2028,9.4,"95% by 2050"
"210","Batteries",2030,58.7,"95% by 2050"
"211","Biomass",2030,106.2,"95% by 2050"
"212","Coal",2030,3367.96597296231,"95% by 2050"
"213","Gas CC",2030,1451.15,"95% by 2050"
"214","Gas CT",2030,6109.2661651417,"95% by 2050"
"215","PHS",2030,1,"95% by 2050"
"216","PV utility",2030,15.0323583925594,"95% by 2050"
"217","Wind on",2030,392.4,"95% by 2050"
"218","Batteries",2032,281.3,"95% by 2050"
"219","Biomass",2032,38.7,"95% by 2050"
"220","Coal",2032,1846.45,"95% by 2050"
"221","Gas CC",2032,177,"95% by 2050"
"222","Gas CT",2032,1138.4,"95% by 2050"
"223","PV utility",2032,129.855201438305,"95% by 2050"
"224","Wind on",2032,1079.05,"95% by 2050"
"225","Batteries",2034,249.05,"95% by 2050"
"226","Biomass",2034,134,"95% by 2050"
"227","Coal",2034,1861.35,"95% by 2050"
"228","Gas CC",2034,859.499999999999,"95% by 2050"
"229","Gas CT",2034,1909.1,"95% by 2050"
"230","PV utility",2034,189.734082182682,"95% by 2050"
"231","Wind on",2034,1132.3,"95% by 2050"
"232","Batteries",2036,688.5,"95% by 2050"
"233","Biomass",2036,121.3,"95% by 2050"
"234","Coal",2036,620.5,"95% by 2050"
"235","Gas CC",2036,428.200000000001,"95% by 2050"
"236","Gas CT",2036,1685.85056627909,"95% by 2050"
"237","PV utility",2036,245.736616545307,"95% by 2050"
"238","Wind on",2036,1252.9,"95% by 2050"
"239","Batteries",2038,4357.50893575597,"95% by 2050"
"240","Biomass",2038,399.55,"95% by 2050"
"241","Coal",2038,1710.55,"95% by 2050"
"242","Gas CC",2038,451.549999999999,"95% by 2050"
"243","Gas CT",2038,1859.39631055299,"95% by 2050"
"244","PV utility",2038,332.648509637937,"95% by 2050"
"245","Wind on",2038,3923.3,"95% by 2050"
"246","Batteries",2040,927.461343909179,"95% by 2050"
"247","Biomass",2040,477.65,"95% by 2050"
"248","Coal",2040,854.85,"95% by 2050"
"249","Gas CC",2040,380.5,"95% by 2050"
"250","Gas CT",2040,3076.15690691134,"95% by 2050"
"251","Geothermal",2040,7.79999999999998,"95% by 2050"
"252","PV dist",2040,29.2,"95% by 2050"
"253","PV utility",2040,498.264017261812,"95% by 2050"
"254","Wind on",2040,11313.65,"95% by 2050"
"255","Batteries",2042,800.369288436845,"95% by 2050"
"256","Biomass",2042,235.2,"95% by 2050"
"257","Coal",2042,3051.25,"95% by 2050"
"258","CSP",2042,33.0235,"95% by 2050"
"259","Gas CC",2042,444.6,"95% by 2050"
"260","Gas CT",2042,2460.1,"95% by 2050"
"261","Geothermal",2042,67.5,"95% by 2050"
"262","PV dist",2042,252,"95% by 2050"
"263","PV utility",2042,1398.70842183795,"95% by 2050"
"264","Wind on",2042,9856.5,"95% by 2050"
"265","Batteries",2044,1405.68997775959,"95% by 2050"
"266","Biomass",2044,106.3,"95% by 2050"
"267","Coal",2044,4543.84831343183,"95% by 2050"
"268","CSP",2044,469.5,"95% by 2050"
"269","Gas CT",2044,2473.55,"95% by 2050"
"270","Geothermal",2044,42.7,"95% by 2050"
"271","PV dist",2044,436.618,"95% by 2050"
"272","PV utility",2044,3146.06161955563,"95% by 2050"
"273","Wind on",2044,2880.6,"95% by 2050"
"274","Batteries",2046,3184.12113888394,"95% by 2050"
"275","Biomass",2046,108.15,"95% by 2050"
"276","Coal",2046,9968.80319990026,"95% by 2050"
"277","Gas CC",2046,5253.6,"95% by 2050"
"278","Gas CT",2046,5858.3,"95% by 2050"
"279","Geothermal",2046,25,"95% by 2050"
"280","PV dist",2046,567.6835,"95% by 2050"
"281","PV utility",2046,5954.45550265319,"95% by 2050"
"282","Wind off",2046,14.6499999999999,"95% by 2050"
"283","Wind on",2046,8469.5743,"95% by 2050"
"284","Batteries",2048,3718.2150927421,"95% by 2050"
"285","Biomass",2048,34.8,"95% by 2050"
"286","Coal",2048,8735.32766197136,"95% by 2050"
"287","Gas CC",2048,772.900000000001,"95% by 2050"
"288","Gas CT",2048,3597.23583810816,"95% by 2050"
"289","Geothermal",2048,30.15,"95% by 2050"
"290","PV dist",2048,688.2,"95% by 2050"
"291","PV utility",2048,5335.39015805856,"95% by 2050"
"292","Wind on",2048,6477.5,"95% by 2050"
"293","Batteries",2050,2384.63940591155,"95% by 2050"
"294","Biomass",2050,72.1,"95% by 2050"
"295","Coal",2050,7187.67924326572,"95% by 2050"
"296","Gas CC",2050,1961.6,"95% by 2050"
"297","Gas CT",2050,12834.7700657847,"95% by 2050"
