"Dim1","Dim2","Dim3","Dim4","Val"
"p7","p15","2026","AC",2518
"p7","p15","2028","AC",2518.10532211018
"p7","p15","2030","AC",2518.10532211018
"p7","p15","2032","AC",2518.74448238304
"p7","p15","2034","AC",2520.01065135157
"p7","p15","2036","AC",2520.70834335157
"p7","p15","2038","AC",2520.70834335157
"p7","p15","2040","AC",2520.90350330439
"p7","p15","2042","AC",2521.708038438
"p7","p15","2044","AC",2787.3961885214
"p7","p15","2046","AC",2830.66584909826
"p7","p15","2048","AC",2910.21689307244
"p7","p15","2050","AC",3257.35528734351
"p8","p9","2010","AC",85.182
"p8","p9","2012","AC",85.182
"p8","p9","2014","AC",85.182
"p8","p9","2016","AC",85.182
"p8","p9","2018","AC",85.182
"p8","p9","2020","AC",85.182
"p8","p9","2022","AC",85.182
"p8","p9","2024","AC",85.182
"p8","p9","2026","AC",85.285
"p8","p9","2028","AC",213.411900904986
"p8","p9","2030","AC",217.732338863658
"p8","p9","2032","AC",269.104552016282
"p8","p9","2034","AC",269.158050478633
"p8","p9","2036","AC",473.676290766207
"p8","p9","2038","AC",649.801815886487
"p8","p9","2040","AC",1173.54700962499
"p8","p9","2042","AC",1257.64621897809
"p8","p9","2044","AC",1494.78235486353
"p8","p9","2046","AC",1758.53964857509
"p8","p9","2048","AC",1891.77835851356
"p8","p9","2050","AC",2008.61476720241
"p8","p12","2010","AC",300
"p8","p12","2012","AC",300
"p8","p12","2014","AC",300
"p8","p12","2016","AC",300
"p8","p12","2018","AC",300
"p8","p12","2020","AC",300
"p8","p12","2022","AC",300
"p8","p12","2024","AC",300
"p8","p12","2026","AC",300
"p8","p12","2028","AC",300
"p8","p12","2030","AC",300
"p8","p12","2032","AC",300
"p8","p12","2034","AC",300
"p8","p12","2036","AC",300
"p8","p12","2038","AC",300
"p8","p12","2040","AC",300
"p8","p12","2042","AC",302.474230281544
"p8","p12","2044","AC",302.474230281544
"p8","p12","2046","AC",302.474230281544
"p8","p12","2048","AC",302.474230281544
"p8","p12","2050","AC",302.474230281544
"p9","p10","2010","AC",8242
"p9","p10","2012","AC",8242
"p9","p10","2014","AC",8242
"p9","p10","2016","AC",8242
"p9","p10","2018","AC",8242
"p9","p10","2020","AC",8242
"p9","p10","2022","AC",8242
"p9","p10","2024","AC",8242
"p9","p10","2026","AC",8242
"p9","p10","2028","AC",8242
"p9","p10","2030","AC",8242
"p9","p10","2032","AC",8242
"p9","p10","2034","AC",8242
"p9","p10","2036","AC",8242
"p9","p10","2038","AC",8242
"p9","p10","2040","AC",8242
"p9","p10","2042","AC",8242
"p9","p10","2044","AC",8270.20184308042
"p9","p10","2046","AC",8270.20184308042
"p9","p10","2048","AC",8270.20184308042
"p9","p10","2050","AC",8270.20184308042
"p9","p12","2010","AC",105.862
"p9","p12","2012","AC",105.862
"p9","p12","2014","AC",105.862
"p9","p12","2016","AC",105.862
"p9","p12","2018","AC",105.862
"p9","p12","2020","AC",105.862
"p9","p12","2022","AC",105.862
"p9","p12","2024","AC",105.862
"p9","p12","2026","AC",126.305472982734
"p9","p12","2028","AC",129.331760110408
"p9","p12","2030","AC",129.634649177076
"p9","p12","2032","AC",130.208681012981
"p9","p12","2034","AC",175.56389645278
"p9","p12","2036","AC",228.918752497471
"p9","p12","2038","AC",279.109349605479
"p9","p12","2040","AC",504.212288037643
"p9","p12","2042","AC",793.770400871402
"p9","p12","2044","AC",1037.378490205
"p9","p12","2046","AC",1103.91688255189
"p9","p12","2048","AC",1116.18575784336
"p9","p12","2050","AC",1248.11910334945
"p10","p11","2010","AC",7240
"p10","p11","2012","AC",7240
"p10","p11","2014","AC",7240
"p10","p11","2016","AC",7240
"p10","p11","2018","AC",7240
"p10","p11","2020","AC",7240
"p10","p11","2022","AC",7240
"p10","p11","2024","AC",7240
"p10","p11","2026","AC",7477.47107043371
"p10","p11","2028","AC",8079.43190561047
"p10","p11","2030","AC",8109.08733706402
"p10","p11","2032","AC",8205.86799304455
"p10","p11","2034","AC",8232.15048918288
"p10","p11","2036","AC",8243.51243807488
"p10","p11","2038","AC",8306.36863139196
"p10","p11","2040","AC",8381.08892758781
"p10","p11","2042","AC",8520.29525653715
"p10","p11","2044","AC",8529.47938213313
"p10","p11","2046","AC",8531.60851452026
"p10","p11","2048","AC",8531.60851452026
"p10","p11","2050","AC",8537.73603224915
"p10","p12","2010","AC",7.878
"p10","p12","2012","AC",7.878
"p10","p12","2014","AC",7.878
"p10","p12","2016","AC",7.878
"p10","p12","2018","AC",7.878
"p10","p12","2020","AC",7.878
"p10","p12","2022","AC",7.878
"p10","p12","2024","AC",7.878
"p10","p12","2026","AC",7.878
