"Dim1","Dim2","Dim3","Dim4","Val"
"p10","p27","2018","AC",1746
"p10","p27","2020","AC",1746
"p10","p27","2022","AC",1746
"p10","p27","2024","AC",1746
"p10","p27","2026","AC",1746
"p10","p27","2028","AC",1746
"p10","p27","2030","AC",1746
"p10","p27","2032","AC",1752.34341744909
"p10","p27","2034","AC",1785.07417500725
"p10","p27","2036","AC",1862.73861495643
"p10","p27","2038","AC",1922.10632272315
"p10","p27","2040","AC",1929.34443414777
"p10","p27","2042","AC",1929.34443414777
"p10","p27","2044","AC",2046.81121102233
"p10","p27","2046","AC",2046.81121102233
"p10","p27","2048","AC",2046.81121102233
"p10","p27","2050","AC",2046.81121102233
"p10","p28","2010","AC",1204.407
"p10","p28","2012","AC",1204.407
"p10","p28","2014","AC",1204.407
"p10","p28","2016","AC",1204.407
"p10","p28","2018","AC",1204.407
"p10","p28","2020","AC",1204.407
"p10","p28","2022","AC",1204.407
"p10","p28","2024","AC",1204.407
"p10","p28","2026","AC",1204.407
"p10","p28","2028","AC",1204.407
"p10","p28","2030","AC",1204.407
"p10","p28","2032","AC",1204.407
"p10","p28","2034","AC",1204.407
"p10","p28","2036","AC",1204.616
"p10","p28","2038","AC",1204.616
"p10","p28","2040","AC",1208.11880828572
"p10","p28","2042","AC",1208.11880828572
"p10","p28","2044","AC",1239.2620470637
"p10","p28","2046","AC",1239.2620470637
"p10","p28","2048","AC",1306.5849589404
"p10","p28","2050","AC",1306.5849589404
"p12","p13","2010","AC",252.871
"p12","p13","2012","AC",1514.871
"p12","p13","2014","AC",2776.871
"p12","p13","2016","AC",2776.871
"p12","p13","2018","AC",2776.871
"p12","p13","2020","AC",2776.871
"p12","p13","2022","AC",2776.871
"p12","p13","2024","AC",2776.871
"p12","p13","2026","AC",2776.871
"p12","p13","2028","AC",2776.871
"p12","p13","2030","AC",2776.871
"p12","p13","2032","AC",2776.871
"p12","p13","2034","AC",2776.871
"p12","p13","2036","AC",2776.871
"p12","p13","2038","AC",2776.871
"p12","p13","2040","AC",2776.871
"p12","p13","2042","AC",2776.871
"p12","p13","2044","AC",2776.871
"p12","p13","2046","AC",2777.35560713689
"p12","p13","2048","AC",2801.79005687417
"p12","p13","2050","AC",2813.43499452935
"p12","p15","2010","AC",863
"p12","p15","2012","AC",1628
"p12","p15","2014","AC",1628
"p12","p15","2016","AC",1628
"p12","p15","2018","AC",1628
"p12","p15","2020","AC",1628
"p12","p15","2022","AC",1628
"p12","p15","2024","AC",1628
"p12","p15","2026","AC",1628.50241726273
"p12","p15","2028","AC",1628.64873049828
"p12","p15","2030","AC",1628.81730123086
"p12","p15","2032","AC",1629.0757868633
"p12","p15","2034","AC",1661.32868132998
"p12","p15","2036","AC",1721.22865542324
"p12","p15","2038","AC",1877.67258320558
"p12","p15","2040","AC",1996.47361755181
"p12","p15","2042","AC",2189.75136902619
"p12","p15","2044","AC",2467.17394936221
"p12","p15","2046","AC",2780.30809949704
"p12","p15","2048","AC",2908.47699562007
"p12","p15","2050","AC",3039.68193889035
"p12","p25","2010","AC",319
"p12","p25","2012","AC",319
"p12","p25","2014","AC",319
"p12","p25","2016","AC",319
"p12","p25","2018","AC",319
"p12","p25","2020","AC",319
"p12","p25","2022","AC",319
"p12","p25","2024","AC",319
"p12","p25","2026","AC",319.05392130351
"p12","p25","2028","AC",319.05392130351
"p12","p25","2030","AC",319.05392130351
"p12","p25","2032","AC",319.05392130351
"p12","p25","2034","AC",319.05392130351
"p12","p25","2036","AC",319.05392130351
"p12","p25","2038","AC",319.05392130351
"p12","p25","2040","AC",319.05392130351
"p12","p25","2042","AC",319.05392130351
"p12","p25","2044","AC",319.05392130351
"p12","p25","2046","AC",319.05392130351
"p12","p25","2048","AC",319.05392130351
"p12","p25","2050","AC",350.482103457658
"p13","p25","2010","AC",155.773
"p13","p25","2012","AC",155.773
"p13","p25","2014","AC",155.773
"p13","p25","2016","AC",155.773
"p13","p25","2018","AC",155.773
"p13","p25","2020","AC",155.773
"p13","p25","2022","AC",155.773
"p13","p25","2024","AC",155.773
"p13","p25","2026","AC",155.773
"p13","p25","2028","AC",155.773
"p13","p25","2030","AC",155.773
"p13","p25","2032","AC",155.773
"p13","p25","2034","AC",155.91156412398
