"Dim1","Dim2","Dim3","Dim4","Val"
"p9","p12","2010","AC",105.862
"p9","p12","2012","AC",105.862
"p9","p12","2014","AC",105.862
"p9","p12","2016","AC",105.862
"p9","p12","2018","AC",105.862
"p9","p12","2020","AC",105.862
"p9","p12","2022","AC",105.862
"p9","p12","2024","AC",105.862
"p9","p12","2026","AC",109.559
"p9","p12","2028","AC",473.380851089837
"p9","p12","2030","AC",696.032734745034
"p9","p12","2032","AC",945.123414978671
"p9","p12","2034","AC",1528.8042429554
"p9","p12","2036","AC",1591.43705121567
"p9","p12","2038","AC",2222.2939154585
"p9","p12","2040","AC",3319.07599240476
"p9","p12","2042","AC",5538.78846059814
"p9","p12","2044","AC",5866.37580888638
"p9","p12","2046","AC",6126.71488011746
"p9","p12","2048","AC",6593.94679059099
"p9","p12","2050","AC",7392.13816617634
"p10","p11","2010","AC",7240
"p10","p11","2012","AC",7240
"p10","p11","2014","AC",7240
"p10","p11","2016","AC",7240
"p10","p11","2018","AC",7240
"p10","p11","2020","AC",7240
"p10","p11","2022","AC",7240
"p10","p11","2024","AC",7240
"p10","p11","2026","AC",7241.348964
"p10","p11","2028","AC",7241.991946
"p10","p11","2030","AC",7242.71763689048
"p10","p11","2032","AC",7245.2158693227
"p10","p11","2034","AC",7246.7731197427
"p10","p11","2036","AC",7246.9561197427
"p10","p11","2038","AC",7246.9561197427
"p10","p11","2040","AC",7246.9561197427
"p10","p11","2042","AC",7247.2653474947
"p10","p11","2044","AC",7247.2653474947
"p10","p11","2046","AC",7247.2653474947
"p10","p11","2048","AC",7247.2653474947
"p10","p11","2050","AC",7247.2653474947
"p10","p12","2010","AC",7.878
"p10","p12","2012","AC",7.878
"p10","p12","2014","AC",7.878
"p10","p12","2016","AC",7.878
"p10","p12","2018","AC",7.878
"p10","p12","2020","AC",7.878
"p10","p12","2022","AC",7.878
"p10","p12","2024","AC",7.878
"p10","p12","2026","AC",7.878
"p10","p12","2028","AC",7.878
"p10","p12","2030","AC",7.878
"p10","p12","2032","AC",7.878
"p10","p12","2034","AC",7.878
"p10","p12","2036","AC",7.878
"p10","p12","2038","AC",7.878
"p10","p12","2040","AC",7.878
"p10","p12","2042","AC",7.878
"p10","p12","2044","AC",7.878
"p10","p12","2046","AC",7.878
"p10","p12","2048","AC",7.878
"p10","p12","2050","AC",7.878
"p10","p13","2010","AC",2283
"p10","p13","2012","AC",2283
"p10","p13","2014","AC",2283
"p10","p13","2016","AC",2283
"p10","p13","2018","AC",2283
"p10","p13","2020","AC",2283
"p10","p13","2022","AC",2283
"p10","p13","2024","AC",2283
"p10","p13","2026","AC",2283
"p10","p13","2028","AC",2283
"p10","p13","2030","AC",2624.49641016468
"p10","p13","2032","AC",3088.3150911037
"p10","p13","2034","AC",3517.91675894378
"p10","p13","2036","AC",4204.84927770187
"p10","p13","2038","AC",4823.92312354446
"p10","p13","2040","AC",5126.91868856418
"p10","p13","2042","AC",5327.55121284227
