"Dim1","Dim2","Dim3","Val"
"biopower","p98","2016",30.85
"biopower","p98","2038",71.5
"biopower","p98","2040",23.5
"biopower","p99","2020",41.5
"biopower","p99","2028",98.65
"biopower","p101","2012",3.75
"biopower","p101","2020",23.55
"biopower","p101","2036",6.85
"biopower","p102","2046",37.45
"biopower","p103","2038",17
"biopower","p103","2040",8.15
"biopower","p103","2042",19
"biopower","p103","2044",19
"biopower","p103","2046",17.5
"biopower","p111","2044",3.6
"biopower","p122","2014",6
"biopower","p122","2018",8.1
"biopower","p127","2016",29.55
"biopower","p127","2020",9.5
"biopower","p127","2040",27.5
"biopower","p129","2014",1.85
"biopower","p129","2034",26
"biopower","p129","2042",10
"biopower","p130","2030",21.55
"biopower","p130","2036",7.5
"biopower","p130","2038",34.55
"biopower","p131","2012",4.35
"biopower","p131","2042",7.8
"biopower","p132","2042",13
"biopower","p134","2014",8.5
"biopower","p134","2016",7.99999999999999
"biopower","p134","2018",10.5
"biopower","p134","2020",34.5
"biopower","p134","2038",20.3
"biopower","p134","2040",65.55
"biopower","p134","2042",18
"can-imports","p1","2012",-234.54915
"can-imports","p1","2014",159.5709
"can-imports","p1","2016",-274.9935
"can-imports","p1","2018",144.5139
"can-imports","p1","2020",23.31915
"can-imports","p1","2022",30.0226
"can-imports","p1","2024",25.74175
"can-imports","p1","2026",-82.0187
"can-imports","p1","2028",7.91175000000004
"can-imports","p1","2030",8.27870000000001
"can-imports","p1","2032",8.50084999999996
"can-imports","p1","2034",7.08435000000003
"can-imports","p1","2036",3.61694999999997
"can-imports","p1","2038",-2.70344999999998
"can-imports","p1","2040",-3.70960000000002
"can-imports","p3","2012",-107.97195
"can-imports","p3","2014",79.2337
"can-imports","p3","2016",-144.74585
"can-imports","p3","2018",80.6739
"can-imports","p3","2020",3.71045000000001
"can-imports","p3","2022",15.0113
"can-imports","p3","2024",12.87085
"can-imports","p3","2026",-41.00935
"can-imports","p3","2028",3.95590000000001
"can-imports","p3","2030",4.13935000000001
"can-imports","p3","2032",4.25039999999998
"can-imports","p3","2034",3.54220000000001
"can-imports","p3","2036",1.80844999999999
"can-imports","p3","2038",-1.35175000000001
"can-imports","p3","2040",-1.85475
"can-imports","p18","2012",4.6513
"can-imports","p18","2014",-0.2759
"can-imports","p18","2016",-3.62455
"can-imports","p18","2018",4.2085
"can-imports","p18","2020",-3.9746
"can-imports","p36","2012",3.7174
"can-imports","p36","2014",2.1848
"can-imports","p36","2016",-22.6298
"can-imports","p36","2018",16.7602
"can-imports","p36","2020",8.15285
"can-imports","p37","2012",33.36095
"can-imports","p37","2014",-17.05335
"can-imports","p37","2016",-42.41545
"can-imports","p37","2018",-59.97295
"can-imports","p37","2020",-78.2439
"can-imports","p37","2022",-18.90195
"can-imports","p37","2024",1.00665000000004
"can-imports","p37","2026",33.4578
"can-imports","p37","2028",-112.78725
"can-imports","p37","2030",-107.07785
"can-imports","p37","2032",0.0841500000000224
"can-imports","p37","2034",0.17999999999995
"can-imports","p37","2036",-21.1409
"can-imports","p37","2038",12.83315
"can-imports","p37","2040",-10.875
"can-imports","p42","2012",33.36095
"can-imports","p42","2014",-17.05335
"can-imports","p42","2016",-42.41545
"can-imports","p42","2018",-59.97295
"can-imports","p42","2020",-78.2439
"can-imports","p42","2022",-18.90195
"can-imports","p42","2024",1.00665000000004
"can-imports","p42","2026",33.4578
"can-imports","p42","2028",-112.78725
"can-imports","p42","2030",-107.07785
"can-imports","p42","2032",0.0841500000000224
"can-imports","p42","2034",0.17999999999995
"can-imports","p42","2036",-21.1409
